Time (UTC),Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Wind Ts,Score
2023-11-03 10:35:25,495,15.5,10.0,21.5,225.0,2023-11-03 10:35:02,42
2023-11-03 10:37:25,485,15.5,10.0,21.5,225.0,2023-11-03 10:35:02,8
2023-11-03 10:39:25,506,15.0,10.5,20.0,225.0,2023-11-03 10:40:02,22
2023-11-03 10:41:25,511,15.0,10.5,20.0,225.0,2023-11-03 10:40:02,20
2023-11-03 10:43:25,493,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,2
2023-11-03 10:45:25,491,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,12
2023-11-03 10:47:26,460,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,3
2023-11-03 10:49:25,474,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,15
2023-11-03 11:05:49,469,15.5,9.0,21.5,225.0,2023-11-03 11:05:11,0
2023-11-03 11:09:47,471,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,17
2023-11-03 11:13:02,481,14.0,9.75,20.5,225.0,2023-11-03 11:15:14,13
2023-11-03 11:15:02,489,14.0,9.75,20.5,225.0,2023-11-03 11:15:14,18
2023-11-03 11:17:02,485,14.0,9.75,20.5,225.0,2023-11-03 11:15:14,11
2023-11-03 11:19:02,481,14.5,9.5,20.5,225.0,2023-11-03 11:20:14,14
2023-11-03 11:21:02,489,14.5,9.5,20.5,225.0,2023-11-03 11:20:14,21
2023-11-03 11:23:02,496,15.5,9.75,22.0,225.0,2023-11-03 11:25:20,19
2023-11-03 11:25:02,490,15.5,9.75,22.0,225.0,2023-11-03 11:25:20,11
2023-11-03 11:27:02,497,15.5,9.75,22.0,225.0,2023-11-03 11:25:20,15
2023-11-03 11:29:02,488,15.5,10.5,22.5,225.0,2023-11-03 11:30:20,15
2023-11-03 11:31:02,476,15.5,10.5,22.5,225.0,2023-11-03 11:30:20,3
2023-11-03 11:33:02,489,14.5,9.5,22.0,225.0,2023-11-03 11:35:23,16
2023-11-03 11:35:02,479,14.5,9.5,22.0,225.0,2023-11-03 11:35:23,11
2023-11-03 11:37:02,481,14.5,9.5,22.0,225.0,2023-11-03 11:35:23,13
2023-11-03 11:39:02,475,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,5
2023-11-03 13:17:54,473,14.5,9.0,25.0,225.0,2023-11-03 13:15:54,5
2023-11-03 13:19:54,519,18.0,11.5,24.5,225.0,2023-11-03 13:20:54,49
2023-11-03 13:21:54,493,18.0,11.5,24.5,225.0,2023-11-03 13:20:54,0
2023-11-03 13:23:54,520,17.5,10.5,23.5,225.0,2023-11-03 13:25:57,37
2023-11-03 13:25:54,511,17.5,10.5,23.5,225.0,2023-11-03 13:25:57,23
2023-11-03 13:27:54,519,17.5,10.5,23.5,225.0,2023-11-03 13:25:57,19
2023-11-03 13:29:54,547,15.5,11.0,20.0,247.5,2023-11-03 13:30:57,36
2023-11-03 13:31:54,485,15.5,11.0,20.0,247.5,2023-11-03 13:30:57,5
2023-11-03 13:33:54,490,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,21
2023-11-03 13:35:54,482,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:54,447,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,2
2023-11-03 13:39:54,470,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,23
2023-11-08 10:37:21,500,13.5,10.0,22.5,202.5,2023-11-08 10:37:54,123
2023-11-08 10:39:21,431,13.5,10.0,22.5,202.5,2023-11-08 10:37:54,6
2023-11-08 10:45:06,464,13.5,9.5,18.0,225.0,2023-11-08 10:42:57,46
2023-11-08 10:47:06,458,14.0,9.75,18.5,202.5,2023-11-08 10:47:57,5
2023-11-08 10:49:06,466,14.0,9.75,18.5,202.5,2023-11-08 10:47:57,11
2023-11-08 10:51:06,457,13.5,7.25,19.5,202.5,2023-11-08 10:53:00,11
2023-11-08 10:53:24,466,13.5,7.25,19.5,202.5,2023-11-08 10:53:00,15
2023-11-08 10:55:24,479,13.5,7.25,19.5,202.5,2023-11-08 10:53:00,15
2023-11-08 10:57:24,488,14.5,9.75,20.5,225.0,2023-11-08 10:58:00,34
2023-11-08 10:59:24,439,14.5,9.75,20.5,225.0,2023-11-08 10:58:00,0
2023-11-08 11:01:52,467,13.5,9.0,20.5,202.5,2023-11-08 11:03:03,29
2023-11-08 11:03:52,484,13.5,9.0,20.5,202.5,2023-11-08 11:03:03,25
2023-11-08 11:15:05,464,11.0,6.5,16.5,202.5,2023-11-08 11:13:07,23
2023-11-08 11:17:05,441,13.0,8.25,18.0,202.5,2023-11-08 11:18:07,2
2023-11-08 11:19:05,469,13.0,8.25,18.0,202.5,2023-11-08 11:18:07,29
2023-11-08 11:21:05,464,14.5,10.5,21.5,202.5,2023-11-08 11:23:49,11
2023-11-08 11:23:05,466,14.5,10.5,21.5,202.5,2023-11-08 11:23:49,7
2023-11-08 11:25:05,467,14.5,10.5,21.5,202.5,2023-11-08 11:23:49,20
2023-11-08 11:27:05,449,14.0,10.5,20.5,202.5,2023-11-08 11:28:49,3
2023-11-08 11:29:05,472,14.0,10.5,20.5,202.5,2023-11-08 11:28:49,24
2023-11-08 11:33:40,473,12.5,6.25,20.0,180.0,2023-11-08 11:33:51,9
2023-11-08 11:35:40,470,12.5,6.25,20.0,180.0,2023-11-08 11:33:51,16
2023-11-08 11:39:49,470,12.0,7.5,18.5,202.5,2023-11-08 11:38:51,6
2023-11-08 11:41:49,477,11.5,8.0,17.0,225.0,2023-11-08 11:43:55,21
2023-11-08 11:43:49,470,11.5,8.0,17.0,225.0,2023-11-08 11:43:55,10
2023-11-08 11:52:38,473,11.0,5.5,17.5,202.5,2023-11-08 11:53:58,4
2023-11-08 11:54:38,460,11.0,5.5,17.5,202.5,2023-11-08 11:53:58,7
2023-11-08 11:56:38,457,12.5,8.0,17.5,202.5,2023-11-08 11:58:58,7
2023-11-08 12:00:34,468,12.5,8.0,17.5,202.5,2023-11-08 11:58:58,14
2023-11-08 12:11:53,472,14.0,8.0,22.5,202.5,2023-11-08 12:14:04,16
2023-11-08 12:13:53,459,14.0,8.0,22.5,202.5,2023-11-08 12:14:04,4
2023-11-08 12:15:53,469,14.0,8.0,22.5,202.5,2023-11-08 12:14:04,12
2023-11-08 12:17:53,472,14.5,9.75,20.0,202.5,2023-11-08 12:19:04,16
2023-11-08 12:19:53,477,14.5,9.75,20.0,202.5,2023-11-08 12:19:04,20
2023-11-08 12:21:53,445,13.0,8.25,19.5,202.5,2023-11-08 12:24:07,0
2023-11-08 12:23:53,466,13.0,8.25,19.5,202.5,2023-11-08 12:24:07,23
2023-11-08 12:27:39,475,12.5,8.0,21.5,202.5,2023-11-08 12:29:07,19
2023-11-08 12:29:39,460,12.5,8.0,21.5,202.5,2023-11-08 12:29:07,11
2023-11-08 12:31:39,468,14.5,9.5,20.0,202.5,2023-11-08 12:34:10,15
2023-11-08 12:33:39,473,14.5,9.5,20.0,202.5,2023-11-08 12:34:10,11
2023-11-08 12:35:39,527,14.5,9.5,20.0,202.5,2023-11-08 12:34:10,57
2023-11-08 12:37:39,490,17.0,12.0,24.0,202.5,2023-11-08 12:39:10,3
2023-11-08 12:39:39,465,17.0,12.0,24.0,202.5,2023-11-08 12:39:10,1
2023-11-08 12:42:57,475,15.0,10.0,21.0,202.5,2023-11-08 12:44:13,15
2023-11-08 12:44:57,473,15.0,10.0,21.0,202.5,2023-11-08 12:44:13,18
2023-11-08 12:46:57,445,12.5,8.5,17.5,202.5,2023-11-08 12:49:13,0
2023-11-08 12:48:57,460,12.5,8.5,17.5,202.5,2023-11-08 12:49:13,16
2023-11-08 12:50:57,472,12.5,8.5,17.5,202.5,2023-11-08 12:49:13,18
2023-11-08 13:03:31,468,12.0,6.75,17.0,225.0,2023-11-08 13:04:20,0
2023-11-08 13:05:31,462,12.0,6.75,17.0,225.0,2023-11-08 13:04:20,0
2023-11-08 13:25:16,469,13.5,6.0,18.5,202.5,2023-11-08 13:24:25,44
2023-11-08 13:42:17,463,12.5,6.25,18.0,202.5,2023-11-08 13:44:31,38
2023-11-08 13:44:17,466,12.5,6.25,18.0,202.5,2023-11-08 13:44:31,14
2023-11-08 13:54:20,467,12.5,8.0,18.0,180.0,2023-11-08 13:54:34,7
2023-11-08 14:12:06,470,10.5,7.0,14.5,202.5,2023-11-08 14:09:37,52
2023-11-08 14:14:06,458,11.5,6.25,15.5,202.5,2023-11-08 14:14:40,6
2023-11-08 14:16:06,472,11.5,6.25,15.5,202.5,2023-11-08 14:14:40,14
2023-11-08 14:39:42,471,12.0,8.25,15.0,225.0,2023-11-08 14:39:47,0
2023-11-11 09:54:57,464,19.5,13.0,27.0,225.0,2023-11-11 09:56:01,20
2023-11-11 09:56:57,467,19.5,13.0,27.0,225.0,2023-11-11 09:56:01,7
2023-11-11 09:58:57,466,14.5,10.5,17.5,225.0,2023-11-11 10:01:01,24
2023-11-11 10:00:57,467,14.5,10.5,17.5,225.0,2023-11-11 10:01:01,13
2023-11-11 10:02:57,462,14.5,10.5,17.5,225.0,2023-11-11 10:01:01,12
2023-11-11 10:04:57,462,17.0,10.0,25.0,225.0,2023-11-11 10:06:05,15
2023-11-11 10:06:57,455,17.0,10.0,25.0,225.0,2023-11-11 10:06:05,10
2023-11-11 10:10:42,462,14.5,8.75,21.5,225.0,2023-11-11 10:11:05,16
2023-11-11 10:12:42,454,14.5,8.75,21.5,225.0,2023-11-11 10:11:05,11
2023-11-11 10:14:42,469,13.0,7.25,18.5,225.0,2023-11-11 10:16:08,17
2023-11-11 10:16:42,475,13.0,7.25,18.5,225.0,2023-11-11 10:16:08,19
2023-11-11 10:18:42,509,17.0,10.5,25.5,225.0,2023-11-11 10:21:08,35
2023-11-11 10:20:42,552,17.0,10.5,25.5,225.0,2023-11-11 10:21:08,55
2023-11-11 10:22:42,579,17.0,10.5,25.5,225.0,2023-11-11 10:21:08,51
2023-11-11 10:24:42,518,14.5,8.5,23.5,225.0,2023-11-11 10:26:11,10
2023-11-11 10:26:42,530,14.5,8.5,23.5,225.0,2023-11-11 10:26:11,32
2023-11-11 10:28:42,469,15.5,8.75,28.0,225.0,2023-11-11 10:31:11,1
2023-11-11 10:30:42,468,15.5,8.75,28.0,225.0,2023-11-11 10:31:11,26
2023-11-11 10:32:42,524,15.5,8.75,28.0,225.0,2023-11-11 10:31:11,59
2023-11-11 10:34:42,647,19.5,12.5,26.0,225.0,2023-11-11 10:36:13,124
2023-11-11 10:36:42,512,19.5,12.5,26.0,225.0,2023-11-11 10:36:13,0
2023-11-11 10:38:42,432,19.5,12.5,26.0,225.0,2023-11-11 10:36:13,5
2023-11-11 10:59:37,470,23.0,15.5,28.5,225.0,2023-11-11 11:01:20,38
2023-11-11 11:01:37,469,23.0,15.5,28.5,225.0,2023-11-11 11:01:20,1
2023-11-11 11:03:37,458,23.0,15.5,28.5,225.0,2023-11-11 11:01:20,6
2023-11-11 11:05:37,483,21.0,15.0,28.0,225.0,2023-11-11 11:06:23,32
2023-11-11 11:07:37,567,21.0,15.0,28.0,225.0,2023-11-11 11:06:23,85
2023-11-11 11:09:37,499,22.0,16.0,29.0,225.0,2023-11-11 11:11:23,5
2023-11-11 11:11:37,493,22.0,16.0,29.0,225.0,2023-11-11 11:11:23,8
2023-11-11 11:13:37,596,22.0,16.0,29.0,225.0,2023-11-11 11:11:23,109
2023-11-11 11:15:37,504,24.5,17.0,30.5,225.0,2023-11-11 11:16:25,0
2023-11-11 11:17:37,491,24.5,17.0,30.5,225.0,2023-11-11 11:16:25,16
2023-11-11 11:19:37,498,20.0,13.5,27.5,225.0,2023-11-11 11:21:25,9
2023-11-11 11:21:37,497,20.0,13.5,27.5,225.0,2023-11-11 11:21:25,4
2023-11-11 11:23:37,520,20.0,13.5,27.5,225.0,2023-11-11 11:21:25,35
2023-11-11 11:25:37,526,20.5,13.5,29.0,225.0,2023-11-11 11:26:32,29
2023-11-11 11:27:37,509,20.5,13.5,29.0,225.0,2023-11-11 11:26:32,0
2023-11-11 11:29:37,505,21.0,13.5,31.0,225.0,2023-11-11 11:31:32,18
2023-11-11 11:31:37,483,21.0,13.5,31.0,225.0,2023-11-11 11:31:32,5
2023-11-11 11:33:37,482,21.0,13.5,31.0,225.0,2023-11-11 11:31:32,10
2023-11-11 11:35:37,487,22.5,15.5,30.0,225.0,2023-11-11 11:36:35,16
2023-11-11 13:04:51,466,14.5,7.5,21.0,225.0,2023-11-11 13:07:02,0
2023-11-11 13:06:51,469,14.5,7.5,21.0,225.0,2023-11-11 13:07:02,17
2023-11-11 13:09:39,456,9.25,4.0,16.0,225.0,2023-11-11 13:12:02,5
2023-11-11 13:11:39,450,9.25,4.0,16.0,225.0,2023-11-11 13:12:02,0
2023-11-11 13:16:29,457,11.0,5.75,15.5,225.0,2023-11-11 13:17:06,16
2023-11-11 13:18:29,466,11.0,5.75,15.5,225.0,2023-11-11 13:17:06,17
2023-11-11 13:20:29,472,14.5,8.75,22.5,225.0,2023-11-11 13:22:06,18
2023-11-11 13:22:29,523,14.5,8.75,22.5,225.0,2023-11-11 13:22:06,56
2023-11-11 13:24:29,524,14.5,8.75,22.5,225.0,2023-11-11 13:22:06,30
2023-11-11 13:26:29,507,18.5,12.5,28.0,225.0,2023-11-11 13:27:08,0
2023-11-11 13:28:29,533,18.5,12.5,28.0,225.0,2023-11-11 13:27:08,31
2023-11-11 13:30:29,556,18.5,13.0,25.0,225.0,2023-11-11 13:32:08,38
2023-11-11 13:32:29,463,18.5,13.0,25.0,225.0,2023-11-11 13:32:08,0
2023-11-11 13:34:29,466,18.5,13.0,25.0,225.0,2023-11-11 13:32:08,18
2023-11-11 13:37:01,471,18.5,11.0,27.5,225.0,2023-11-11 13:37:11,11
2023-11-11 13:39:01,497,18.5,11.0,27.5,225.0,2023-11-11 13:37:11,28
2023-11-11 13:41:01,507,18.0,10.5,25.0,225.0,2023-11-11 13:42:11,19
2023-11-11 13:43:01,486,18.0,10.5,25.0,225.0,2023-11-11 13:42:11,7
2023-11-11 13:45:01,487,16.0,12.0,22.0,225.0,2023-11-11 13:47:15,6
2023-11-11 13:47:01,467,16.0,12.0,22.0,225.0,2023-11-11 13:47:15,2
2023-11-11 13:58:03,464,12.5,8.0,17.0,225.0,2023-11-11 13:57:17,7
2023-11-11 14:04:32,464,11.5,6.75,19.5,225.0,2023-11-11 14:02:17,14
2023-11-11 14:06:32,440,13.0,9.25,18.0,225.0,2023-11-11 14:07:20,2
2023-11-11 14:08:32,467,13.0,9.25,18.0,225.0,2023-11-11 14:07:20,31
